# ./build/spacebodies 0.27502 \ 0.1 0.1 0.1 -2 -2 -2 0.00000000001 \ -1 -1 -1 +2 +2 +2 0.00000000001

Timestep, Error, x_a, x_b, Ratio, Steps, Range

A,0.000001997990,-0.449998,-0.450002,0.500503,1716457,0.000003994500
1.00E-06,0.000001999990,-0.449998,-0.450002,0.500003,275000,0.000003998500
5.00E-07,0.000001000020,-0.449999,-0.450001,0.499992,550000,0.000001998520
2.50E-07,0.000000499961,-0.45,-0.45,0.500039,1100000,0.000000998475
1.25E-07,0.000000250068,-0.45,-0.45,0.499865,2200000,0.000000498564
6.25E-08,0.000000125078,-0.45,-0.45,0.499688,4400000,0.000000248608
3.13E-08,0.000000062134,-0.45,-0.45,0.502946,8800000,0.000000123183
1.56E-08,0.000000031729,-0.45,-0.45,0.492452,17600000,0.000000061368
7.81E-09,0.000000014415,-0.45,-0.45,0.541966,35200000,0.000000028684
3.91E-09,0.000000006426,-0.45,-0.45,0.607915,70400000,0.000000012311
1.95E-09,0.000000002519,-0.45,-0.45,0.775391,140800000,0.000000004178
