13/2/2018 20:32:49 - #Bodies: 10, Timestep: 0.01, Runtime: 0.103015s
13/2/2018 20:32:51 - #Bodies: 10, Timestep: 0.01, Runtime: 0.004575s
13/2/2018 20:33:03 - #Bodies: 100, Timestep: 0.01, Runtime: 0.714628s
13/2/2018 20:33:04 - #Bodies: 100, Timestep: 0.01, Runtime: 0.078958s
13/2/2018 20:33:33 - #Bodies: 100, Timestep: 0.01, Runtime: 0.444261s
13/2/2018 20:33:34 - #Bodies: 100, Timestep: 0.01, Runtime: 0.075599s
13/2/2018 20:33:38 - #Bodies: 100, Timestep: 0.01, Runtime: 0.462775s
13/2/2018 20:33:39 - #Bodies: 100, Timestep: 0.01, Runtime: 0.075505s
13/2/2018 20:34:12 - #Bodies: 100, Timestep: 0.01, Runtime: 0.548082s
13/2/2018 20:34:12 - #Bodies: 100, Timestep: 0.01, Runtime: 0.074253s
13/2/2018 20:35:41 - #Bodies: 100, Timestep: 0.01, Runtime: 0.468151s
13/2/2018 20:35:41 - #Bodies: 100, Timestep: 0.01, Runtime: 0.074851s
13/2/2018 20:36:04 - #Bodies: 100, Timestep: 0.01, Runtime: 0.277185s
13/2/2018 20:36:04 - #Bodies: 100, Timestep: 0.01, Runtime: 0.088874s
13/2/2018 20:36:28 - #Bodies: 100, Timestep: 0.01, Runtime: 0.286201s
13/2/2018 20:36:28 - #Bodies: 100, Timestep: 0.01, Runtime: 0.080757s
13/2/2018 20:48:44 - #Bodies: 100, Timestep: 0.0001, Runtime: 35.3025s
13/2/2018 20:48:44 - #Bodies: 100, Timestep: 0.01, Runtime: 0.077153s
13/2/2018 22:50:55 - #Bodies: 100, Timestep: 0.01, CPU Time: 0.528877s
13/2/2018 22:50:55 - #Bodies: 100, Timestep: 0.01, Runtime: 0.078441s
13/2/2018 22:51:08 - #Bodies: 100, Timestep: 0.01, CPU Time: 0.515928s
13/2/2018 22:51:08 - #Bodies: 100, Timestep: 0.01, Runtime: 0.074591s
13/2/2018 22:51:31 - #Bodies: 10, Timestep: 0.01, CPU Time: 0.285033s
13/2/2018 22:51:31 - #Bodies: 100, Timestep: 0.01, Runtime: 0.076512s
13/2/2018 22:51:46 - #Bodies: 10, Timestep: 0.01, CPU Time: 0.014425s
13/2/2018 22:51:46 - #Bodies: 100, Timestep: 0.01, Runtime: 0.080038s
13/2/2018 22:52:08 - #Bodies: 10, Timestep: 0.01, CPU Time: 0.028323s
13/2/2018 22:52:08 - #Bodies: 10, Timestep: 0.01, CPU Time: 0.001907s
15/2/2018 14:25:47 - #Bodies: 2, Timestep: 1e-05, CPU Time: 0.136331s
15/2/2018 14:25:47 - #Bodies: 2, Timestep: 5e-06, CPU Time: 0.404915s
15/2/2018 14:25:48 - #Bodies: 2, Timestep: 2.5e-06, CPU Time: 1.05707s
15/2/2018 14:25:49 - #Bodies: 2, Timestep: 1.25e-06, CPU Time: 2.25755s
15/2/2018 14:25:52 - #Bodies: 2, Timestep: 6.25e-07, CPU Time: 4.76886s
